"TOA5","blynken","CR300","36594","CR300-CELL210.11.3.0","CPU:blynken.df84130b24f674375003011e71973b5b.dld","28117","WindUltra"
"TIMESTAMP","RECORD","WindU","WindV"
"TS","RN","",""
"","","Smp","Smp"
"2026-08-09 07:00:00",475,-0.704,1.165
"2026-08-09 08:00:00",476,-4.534,-2.019
"2026-08-09 09:00:00",477,-3.133,-0.955
"2026-08-09 10:00:00",478,-1.19,-1.067
"2026-08-09 11:00:00",479,-3.645,1.329
"2026-08-09 12:00:00",480,-4.66,-1.105
"2026-08-09 13:00:00",481,-3.597,-0.662
"2026-08-09 14:00:00",482,-3.431,0.663
"2026-08-09 15:00:00",483,-3.887,1.342
"2026-08-09 16:00:00",484,-4.242,0.018
"2026-08-09 17:00:00",485,-2.976,0.664
"2026-08-09 18:00:00",486,-2.459,-0.088
"2026-08-09 19:00:00",487,-2.942,2.16
"2026-08-09 20:00:00",488,-2.603,0.621
"2026-08-09 21:00:00",489,-0.529,-1.364
"2026-08-09 22:00:00",490,-1.472,0.024
"2026-08-09 23:00:00",491,-0.87,0.173
"2026-08-10 00:00:00",492,-0.627,-0.826
"2026-08-10 01:00:00",493,-2.415,-0.127
"2026-08-10 02:00:00",494,-2.169,1.227
"2026-08-10 03:00:00",495,-0.591,-0.869
"2026-08-10 04:00:00",496,-0.593,-0.542
"2026-08-10 05:00:00",497,-1.51,1.038
"2026-08-10 06:00:00",498,-0.143,1.12
"2026-08-10 07:00:00",499,-0.59,0.576
"2026-08-10 08:00:00",500,-0.447,-0.785
"2026-08-10 09:00:00",501,0.344,-0.872
"2026-08-10 10:00:00",502,-0.267,-0.881
"2026-08-10 11:00:00",503,-2.511,0.483
"2026-08-10 12:00:00",504,-0.603,-1.11
"2026-08-10 13:00:00",505,0.593,0.685
"2026-08-10 14:00:00",506,-4.226,0.537
"2026-08-10 15:00:00",507,-2.838,-0.158
"2026-08-10 16:00:00",508,-3.301,-0.071
"2026-08-10 17:00:00",509,-3.534,-0.486
"2026-08-10 18:00:00",510,-4.504,-1.603
"2026-08-10 19:00:00",511,-4.016,-0.962
"2026-08-10 20:00:00",512,-4.635,-1.673
"2026-08-10 21:00:00",513,-3.528,-1.607
"2026-08-10 22:00:00",514,-4.427,-1.083
"2026-08-10 23:00:00",515,-2.109,0.452
"2026-08-11 00:00:00",516,-0.53,1.435
"2026-08-11 01:00:00",517,-2.956,0.573
